"","EP","NA","NI","SI","SP","WP"
"lambda_Nina",52.0078242239788,58.9325652343777,13.4729435019645,46.285972199181,27.4011434712164,57.8498119242336
"lambda_Neutral",62.5883789206074,46.2584797036188,15.6651426282345,41.3625390635199,29.3583504118021,65.4009460734389
"lambda_Nino",49.8120463953377,45.8216403246704,13.1960321755882,34.8851516239618,37.2851009571205,59.1399204361453
"p",8.68682135806585,9.89142695094492,2.786211080178,5.30943385329976,7.46852643622761,3.26654560722835
"q",7.39005887979485,7.06871641007418,1.95634917268016,5.06448964997057,6.47204490385377,3.27639710869513
"num_months_shifted",2,2,2,8,8,3
